", ",Дата,"План A≥65%, B, C<50%",Отжимания,Отжимания Факт,Брусья,Брусья Факт,Пресс,Пресс Факт,Турник,Турник Факт,Гиря,Гиря факт,Эспандер,Эспандер Факт,Бег,Бег Факт,Плавание,Плавание факт,Гребля,Гребля факт,Теннис,Теннис факт,"Восстановление сейчас ежедневно йога 1 раз/день, ежедневно холодный душ утром 2мин",Восстановление факт
,22.авг,"A: Теннис «смешанный» 75–90′ + спринты/лестница 10–12′.
B: Теннис 60–75′ техника/упражнения, без спринтов.
C: Техника подача/стойка 30–40′ или прогулка Z1 40′.",,,,,,,,,,,,,,,,,,,,,,
,23.авг,"A: Силовая «низ» 45–60′ (RDL/выпады/присед, икры, мост, core).
B: То же 35–45′, RPE≈7.
C: Мобилити 30–40′, эксцентрика предплечья 3×15.",,,,,,,,,,,,,,,,,,,,,Хаммам + ледяная ванна,
,24.авг,"A: Теннис «техника» 60–75′ (ноги + подача).
B: Техника 45–60′, короткие серии.
C: Йога/дыхание 20–30′.",,,,,,,,,,,,,,,,,,,,,,
6 неделя,25.авг,"A/B: Йога/мобилити 20–30′, прогулка Z1 по желанию.
C: Полный отдых; хаммам 40–45 °C 10–15′ + холод 10–15 °C 1–2′ за 2–3 часа до сна.",,,,,,,,,,,,,,,,,,,,,,
,26.авг,"A: Z2 бег 60′ (MAF ≈144 ± 5, носовое дыхание).
B: Z2 45–55′ (нижняя граница пульса).
C: Z1–Z2 30–40′ очень спокойно.",,,,,,,,,,,,,,,,,,,,,,
,27.авг,"A: Силовая «верх» 45–60′ (отжим/жим, тяга к поясу/резинки, эксцентрика предплечья, Pallof).
B: 35–45′ без «до отказа».
C: Мобилити + лёгкий core 20–30′.",,,,,,,,,,,,,,,,,,,,,,
,28.авг,"A: VO₂ 20–24′ чистой работы: 4×4′/3′ или 5×3′/2–3′ или 30″/30″×24.
B: VO₂ 12–16′ (например 4×3′/2′).
C: Без интервалов, только йога/дыхание/прогулка.",,,,,,,,,,,,,,,,,,,,,,
,29.авг,"A: Длинная Z2 80–90′ (бег/эллипс) или плавание 1.2–1.6 км.
B: Z2 60–70′ (или плавание 1.0–1.2 км).
C: Z1–Z2 40–50′ без пиков.",,,,,,,,,,,,,,,,,,,,,,
,30.авг,"A: Опция 3-й теннис 75–90′ только если A×2д подряд и ACWR<1.3. Иначе — силовая «низ» 45–60′.
B: Силовая «низ» 30–40′ или техника тенниса 45′.
C: Восстановление.",,,,,,,,,,,,,,,,,,,,,,
,31.авг,"B: Техника 45–60′ или Z2 40–50′.
C: Восстановление или лёгкая техника 30–40′.",,,,,,,,,,,,,,,,,,,,,,
7 неделя,01.сен,,,,,,,,,,,,,,,,,,,,,,,
,02.сен,,,,,,,,,,,,,,,,,,,,,,,
,03.сен,,,,,,,,,,,,,,,,,,,,,,,
,04.сен,,,,,,,,,,,,,,,,,,,,,,,
,05.сен,,,,,,,,,,,,,,,,,,,,,,,
,06.сен,,,,,,,,,,,,,,,,,,,,,,,
,07.сен,,,,,,,,,,,,,,,,,,,,,,,
8 неделя,08.сен,,,,,,,,,,,,,,,,,,,,,,,
,09.сен,,,,,,,,,,,,,,,,,,,,,,,
,10.сен,,,,,,,,,,,,,,,,,,,,,,,
,11.сен,,,,,,,,,,,,,,,,,,,,,,,
,12.сен,,,,,,,,,,,,,,,,,,,,,,,
,13.сен,,,,,,,,,,,,,,,,,,,,,,,
,14.сен,,,,,,,,,,,,,,,,,,,,,,,
,15.сен,,,,,,,,,,,,,,,,,,,,,,,
,16.сен,,,,,,,,,,,,,,,,,,,,,,,
,17.сен,,,,,,,,,,,,,,,,,,,,,,,
,18.сен,,,,,,,,,,,,,,,,,,,,,,,
,19.сен,,,,,,,,,,,,,,,,,,,,,,,
,20.сен,,,,,,,,,,,,,,,,,,,,,,,
,21.сен,,,,,,,,,,,,,,,,,,,,,,,
,22.сен,,,,,,,,,,,,,,,,,,,,,,,
,23.сен,,,,,,,,,,,,,,,,,,,,,,,
,24.сен,,,,,,,,,,,,,,,,,,,,,,,
,25.сен,,,,,,,,,,,,,,,,,,,,,,,
,26.сен,,,,,,,,,,,,,,,,,,,,,,,
,27.сен,,,,,,,,,,,,,,,,,,,,,,,
,28.сен,,,,,,,,,,,,,,,,,,,,,,,
,29.сен,,,,,,,,,,,,,,,,,,,,,,,
,30.сен,,,,,,,,,,,,,,,,,,,,,,,
,01.окт,,,,,,,,,,,,,,,,,,,,,,,
,02.окт,,,,,,,,,,,,,,,,,,,,,,,
,03.окт,,,,,,,,,,,,,,,,,,,,,,,
,04.окт,,,,,,,,,,,,,,,,,,,,,,,
,05.окт,,,,,,,,,,,,,,,,,,,,,,,
,06.окт,,,,,,,,,,,,,,,,,,,,,,,
,07.окт,,,,,,,,,,,,,,,,,,,,,,,
,08.окт,,,,,,,,,,,,,,,,,,,,,,,
,09.окт,,,,,,,,,,,,,,,,,,,,,,,
,10.окт,,,,,,,,,,,,,,,,,,,,,,,
,11.окт,,,,,,,,,,,,,,,,,,,,,,,
,12.окт,,,,,,,,,,,,,,,,,,,,,,,
,13.окт,,,,,,,,,,,,,,,,,,,,,,,
,14.окт,,,,,,,,,,,,,,,,,,,,,,,
,15.окт,,,,,,,,,,,,,,,,,,,,,,,
,16.окт,,,,,,,,,,,,,,,,,,,,,,,
,17.окт,,,,,,,,,,,,,,,,,,,,,,,
,18.окт,,,,,,,,,,,,,,,,,,,,,,,
,19.окт,,,,,,,,,,,,,,,,,,,,,,,
,20.окт,,,,,,,,,,,,,,,,,,,,,,,
,21.окт,,,,,,,,,,,,,,,,,,,,,,,
,22.окт,,,,,,,,,,,,,,,,,,,,,,,
,23.окт,,,,,,,,,,,,,,,,,,,,,,,
,24.окт,,,,,,,,,,,,,,,,,,,,,,,
,25.окт,,,,,,,,,,,,,,,,,,,,,,,
,26.окт,,,,,,,,,,,,,,,,,,,,,,,
